Part number,Description,UOM,QTY,Unit Price,Picture,,,,,,,,,,,,,
4932493372,4932493372A MILWAUKEE SHOCKWAVE Impact Duty 1/2 DRÿ19MMÿLugÿNutÿWheel Socket (YELLOW),EACH,1," 40,075.43 ",Picture,,,,,,,,,,,,,
4932493373,4932493373A MILWAUKEE SHOCKWAVE Impact Duty 1/2 DRÿ21MMÿLugÿNutÿWheel Socket (RED),EACH,1," 40,075.43 ",Picture,,,,,,,,,,,,,
48-00-1301,"48-00-1301 MILWAUKEE 9"" PRUNING BLADE 5TPI 5PK",EACH,1," 91,187.03 ",Picture,,,,,,,,,,,,,
48-00-1303,"48-00-1303 MILWAUKEE 12"" PRUNING BLADE 5TPI 5PK",EACH,1," 160,918.28 ",Picture,,,,,,,,,,,,,
48-00-1640,48-00-1640 MILWAUKEE DRYWALL ACCESS SAWALL? BLADE 1PK,EACH,1," 27,490.21 ",Picture,,,,,,,,,,,,,
48-00-5021,48-00-5021 MILWAUKEE 6'' AX WITH BI-METAL SAWZALL BLADE FOR NAIL WOOD 5TPI 5PK,EACH,1," 56,321.40 ",Picture,,,,,,,,,,,,,
48-00-5026,48-00-5026 MILWAUKEE 9'' AX WITH BI-METAL SAWZALL BLADE FOR NAIL WOOD 5TPI 5PK,EACH,1," 73,754.21 ",Picture,,,,,,,,,,,,,
48-00-5027,48-00-5027 MILWAUKEE 12'' AX WITH BI-METAL SAWZALL BLADE FOR NAIL WOOD 5TPI 5PK,EACH,1," 93,198.50 ",Picture,,,,,,,,,,,,,
48-00-5182,"48-00-5182 MILWAUKEE THIN KERF SAWZALL BLADE 14TPI 6"" 5PK",EACH,1," 44,923.02 ",Picture,,,,,,,,,,,,,
48-00-5184,"48-00-5184 MILWAUKEE THIN KERF SAWZALL BLADE 18TPI 6"" 5PK",EACH,1," 43,582.03 ",Picture,,,,,,,,,,,,,
48-00-5185,48-00-5185 MILWAUKEE 4'' THIN KERF SAWZALL BLADE FOR MEDIUM METAL 24TPI 5PK,EACH,1," 64,063.81 ",Picture,,,,,,,,,,,,,
48-00-5186,48-00-5186 MILWAUKEE 6'' THIN KERF SAWZALL BLADE FOR MEDIUM METAL 24TPI 5PK,EACH,1," 44,252.53 ",Picture,,,,,,,,,,,,,
48-00-5187,"48-00-5187 MILWAUKEE THIN KERF SAWZALL BLADE 14TPI 9"" 5PK",EACH,1," 65,037.80 ",Picture,,,,,,,,,,,,,
48-00-5188,"48-00-5188 MILWAUKEE THIN KERF SAWZALL BLADE 18TPI 9"" 5PK",EACH,1," 87,164.07 ",Picture,,,,,,,,,,,,,
48-00-5189,"48-00-5189 MILWAUKEE THIN KERF SAWZALL BLADE 18TPI 12"" 5PK",EACH,1," 120,688.71 ",Picture,,,,,,,,,,,,,
48-00-5193,"48-00-5193 MILWAUKEE MULTI MATERIAL SAWZALL BLADE 10/14TPI 8"" 5PK",EACH,1," 93,869.00 ",Picture,,,,,,,,,,,,,
48-00-5194,"48-00-5193 MILWAUKEE MULTI MATERIAL SAWZALL BLADE 12/14TPI 8"" 5PK",EACH,1," 110,631.32 ",Picture,,,,,,,,,,,,,
48-00-5202,"48-00-5202 MILWAUKEE 9"" TORCH WITH CARBIDE SAWZALL BLADE FOR THICK METAL 8 TPI 1PK",EACH,1," 84,653.02 ",Picture,,,,,,,,,,,,,
48-00-5221,"48-00-5221 MILWAUKEE 6"" AX WITH CARBIDE TEETH SAWALL BLADE FOR NAIL WOOD 5TPI 1PK ASIA",EACH,1," 55,108.65 ",Picture,,,,,,,,,,,,,
48-00-5226,"48-00-5226 MILWAUKEE 9"" AX WITH CARBIDE TEETH SAWALL BLADE FOR NAIL WOOD 5TPI 1PK ASIA",EACH,1," 74,090.52 ",Picture,,,,,,,,,,,,,
48-00-5261,"48-00-5261 MILWAUKEE 6"" TORCH W/ NITRUS CARBIDE SAWZALL BLADE 8 TPI 1PK",EACH,1," 90,516.53 ",Picture,,,,,,,,,,,,,
48-00-5262,"48-00-5262 MILWAUKEE 9"" TORCH WITH NITRUS CARBIDE SAWZALL BLADE FOR THICK METAL 8 TPI 1PK",EACH,1," 120,688.71 ",Picture,,,,,,,,,,,,,
48-00-5263,"48-00-5263 MILWAUKEE 12"" TORCH W/ NITRUS CARBIDE SAWZALL BLADE 8 TPI 1PK",EACH,1," 187,737.99 ",Picture,,,,,,,,,,,,,
48-00-5271,48-00-5271 MILWAUKEE 6? WRECKER W/ NITRUS CARBIDE SAWZALL BLADE 6TPI 1PK,EACH,1," 103,926.39 ",Picture,,,,,,,,,,,,,
48-00-5272,48-00-5272 MILWAUKEE 9? WRECKER W/ NITRUS CARBIDE SAWZALL BLADE 6TPI 1PK,EACH,1," 137,451.03 ",Picture,,,,,,,,,,,,,
48-00-5273,48-00-5273 MILWAUKEE 12? WRECKER W/ NITRUS CARBIDE SAWZALL BLADE 6TPI 1PK,EACH,1," 194,442.92 ",Picture,,,,,,,,,,,,,
48-00-5502,"48-00-5502 MILWAUKEE 9"" TORCH WITH CARBIDE SAWZALL BLADE FOR THICK METAL 8 TPI 5PK",EACH,1," 407,191.72 ",Picture,,,,,,,,,,,,,
48-00-5701,"48-00-5701 MILWAUKEE WRECKER SAWZALL BLADE 7/11TPI 6"" 5PK",EACH,1," 102,585.40 ",Picture,,,,,,,,,,,,,
48-00-5706,"48-00-5706 MILWAUKEE WRECKER SAWZALL BLADE 7/11TPI 9"" 5PK",EACH,1," 136,110.04 ",Picture,,,,,,,,,,,,,
48-00-5711,"48-00-5711 MILWAUKEE WRECKER SAWZALL BLADE 7/11TPI 12"" 5PK",EACH,1," 167,623.21 ",Picture,,,,,,,,,,,,,
48-00-5712,"48-00-5712 MILWAUKEE TORCH SAWALL BLADE 10TPI 6"" 5PK",EACH,1," 71,072.24 ",Picture,,,,,,,,,,,,,
48-00-5713,"48-00-5713 MILWAUKEE TORCH SAWALL BLADE 10TPI 9"" 5PK",EACH,1," 98,562.45 ",Picture,,,,,,,,,,,,,
48-00-5714,"48-00-5714 MILWAUKEE TORCH SAWALL BLADE 10TPI 12"" 5PK",EACH,1," 147,508.42 ",Picture,,,,,,,,,,,,,
48-00-5782,48-00-5782 MILWAUKEE 6'' TORCH WITH BI-METAL SAWALL BLADE FOR MEDIUM METAL 14TPI 5PK,EACH,1," 46,934.50 ",Picture,,,,,,,,,,,,,
48-00-5784,48-00-5784 MILWAUKEE 6'' TORCH WITH BI-METAL SAWALL BLADE FOR MEDIUM METAL 18TPI 5PK,EACH,1," 46,264.01 ",Picture,,,,,,,,,,,,,
48-00-5787,48-00-5787 MILWAUKEE 9'' TORCH WITH BI-METAL SAWALL BLADE FOR MEDIUM METAL 14TPI 5PK,EACH,1," 68,390.27 ",Picture,,,,,,,,,,,,,
48-00-5788,48-00-5788 MILWAUKEE 9'' TORCH WITH BI-METAL SAWALL BLADE FOR MEDIUM METAL 18TPI 5PK,EACH,1," 91,857.52 ",Picture,,,,,,,,,,,,,
48-00-5789,48-00-5789 MILWAUKEE 12'' TORCH WITH BI-METAL SAWALL BLADE FOR MEDIUM METAL 18TPI 5PK,EACH,1," 117,336.25 ",Picture,,,,,,,,,,,,,
48-00-5794,"48-00-5794 MILWAUKEE TORCH SAWALL BLADE 14TPI 12"" 5PK",EACH,1," 97,221.46 ",Picture,,,,,,,,,,,,,
48-00-6251,"48-00-6251 MILWAUKEE 6"" TORCH W/ NITRUS CARBIDE SAWZALL BLADE FOR MEDIUM METAL 10 TPI 1PK",EACH,1," 107,278.85 ",Picture,,,,,,,,,,,,,
48-00-6252,"48-00-6252 MILWAUKEE 9"" TORCH W/ NITRUS CARBIDE SAWZALL BLADE FOR MEDIUM METAL 10 TPI 1PK",EACH,1," 140,803.49 ",Picture,,,,,,,,,,,,,
48-00-6253,"48-00-6253 MILWAUKEE 12"" TORCH W/ NITRUS CARBIDE SAWZALL BLADE FOR MEDIUM METAL 10 TPI 1PK",EACH,1," 201,147.85 ",Picture,,,,,,,,,,,,,
48-01-6037,"48-01-6037 MILWAUKEE NAIL WOOD SAWZALL BLADE 5TPI 12"" 50PK",EACH,1," 778,223.20 ",Picture,,,,,,,,,,,,,
48-01-6182,"48-01-6182 MILWAUKEE THIN KERF SAWZALL BLADE 14TPI 6"" 50PK",EACH,1," 382,602.27 ",Picture,,,,,,,,,,,,,
48-01-6184,"48-01-6184 MILWAUKEE THIN KERF SAWZALL BLADE 18TPI 6"" 50PK",EACH,1," 379,163.70 ",Picture,,,,,,,,,,,,,
48-01-6187,"48-01-6187 MILWAUKEE THIN KERF SAWZALL BLADE 14TPI 9"" 50PK",EACH,1," 559,872.81 ",Picture,,,,,,,,,,,,,
48-01-6188,"48-01-6188 MILWAUKEE THIN KERF SAWZALL BLADE 18TPI 9"" 50PK",EACH,1," 758,327.39 ",Picture,,,,,,,,,,,,,
